Year	Month	Abbr.	Title	Arxiv
14	06	GAN	Generative Adversarial Networks	https://arxiv.org.2661
14	11	CGAN	Conditional Generative Adversarial Nets	https://arxiv.org.1784
15	06	LAPGAN	Deep Generative Image Models using a Laplacian Pyramid of Adversarial Networks	https://arxiv.org.05751
15	11	CatGAN	Unsupervised and Semi-supervised Learning with Categorical Generative Adversarial Networks	https://arxiv.org.06390v2
15	11	DCGAN	Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks	https://arxiv.org.06434
15	12	VAE-GAN	Autoencoding beyond pixels using a learned similarity metric	https://arxiv.org.09300
16	03	S^2GAN	Generative Image Modeling using Style and Structure Adversarial Networks	https://arxiv.org.05631v2
16	04	MGAN	Precomputed Real-Time Texture Synthesis with Markovian Generative Adversarial Networks	https://arxiv.org.04382
16	05	BiGAN	Adversarial Feature Learning	https://arxiv.org.09782v7
16	06	ALI	Adversarially Learned Inference	https://arxiv.org.00704
16	06	CoGAN	Coupled Generative Adversarial Networks	https://arxiv.org.07536v2
16	06	Improved GAN	Improved Techniques for Training GANs	https://arxiv.org.03498
16	06	InfoGAN	InfoGAN: Interpretable Representation Learning by Information Maximizing Generative Adversarial Nets	https://arxiv.org.03657v1
16	06	f-GAN	f-GAN: Training Generative Neural Samplers using Variational Divergence Minimization	https://arxiv.org.00709
16	07	SketchGAN	Adversarial Training For Sketch Retrieval	https://arxiv.org.02748
16	09	Context-RNN-GAN	Contextual RNN-GANs for Abstract Reasoning Diagram Generation	https://arxiv.org.09444
16	09	EBGAN	Energy-based Generative Adversarial Network	https://arxiv.org.03126v4
16	09	IAN	Neural Photo Editing with Introspective Adversarial Networks	https://arxiv.org.07093
16	09	SRGAN	Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network	https://arxiv.org.04802v3
16	09	SeqGAN	SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient	https://arxiv.org.05473v5
16	09	VGAN	Generating Videos with Scene Dynamics	https://arxiv.org.02612
16	09	iGAN	Generative Visual Manipulation on the Natural Image Manifold	https://arxiv.org.03552v2
16	10	3D-GAN	Learning a Probabilistic Latent Space of Object Shapes via 3D Generative-Adversarial Modeling	https://arxiv.org.07584
16	10	AC-GAN	Conditional Image Synthesis With Auxiliary Classifier GANs	https://arxiv.org.09585
16	10	AffGAN	Amortised MAP Inference for Image Super-resolution	https://arxiv.org.04490
16	10	GAWWN	Learning What and Where to Draw	https://arxiv.org.02454
16	11	C-RNN-GAN	C-RNN-GAN: Continuous recurrent neural networks with adversarial training	https://arxiv.org.09904
16	11	CCGAN	Semi-Supervised Learning with Context-Conditional Generative Adversarial Networks	https://arxiv.org.06430v1
16	11	DTN	Unsupervised Cross-Domain Image Generation	https://arxiv.org.02200
